keyword;id;identifier;language_ISO;topics_level_1;topics_level_2;LGBTIQ_keywords;sentiment;translation
bisexual;1;10.5279/dk-sa-dda-25575;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;1;
bullying;1;10.5279/dk-sa-dda-25575;eng;16 SOCIETY AND CULTURE;16_06 Social behaviour and attitudes;0;1;
discrimination;1;10.5279/dk-sa-dda-25575;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_05 Equality, inequality and social exclusion;0;0;
domestic violence;1;10.5279/dk-sa-dda-25575;eng;08 LAW, CRIME AND LEGAL SYSTEMS;08_01 Crime and law enforcement;0;0;
drinking habits;1;10.5279/dk-sa-dda-25575;eng;04 HEALTH;04_02 Drug abuse, alcohol and smoking;0;1;
exercise;1;10.5279/dk-sa-dda-25575;eng;04 HEALTH;04_07 Physical fitness and exercise;0;1;
hate crimes;1;10.5279/dk-sa-dda-25575;eng;08 LAW, CRIME AND LEGAL SYSTEMS;08_01 Crime and law enforcement;0;0;
health;1;10.5279/dk-sa-dda-25575;eng;04 HEALTH;04_03 General health and well-being;0;1;
homosexuality;1;10.5279/dk-sa-dda-25575;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;1;
illegal drugs (narcotics);1;10.5279/dk-sa-dda-25575;eng;04 HEALTH;04_02 Drug abuse, alcohol and smoking;0;0;
mental health;1;10.5279/dk-sa-dda-25575;eng;04 HEALTH;04_03 General health and well-being;0;1;
mental well-being;1;10.5279/dk-sa-dda-25575;eng;04 HEALTH;04_03 General health and well-being;0;1;
parental role;1;10.5279/dk-sa-dda-25575;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_07 Family life and marriage;0;1;
physical activity;1;10.5279/dk-sa-dda-25575;eng;04 HEALTH;04_07 Physical fitness and exercise;0;1;
safety;1;10.5279/dk-sa-dda-25575;eng;19 OTHER;;0;1;
self-estimated health;1;10.5279/dk-sa-dda-25575;eng;04 HEALTH;04_03 General health and well-being;0;1;
sexual behavior;1;10.5279/dk-sa-dda-25575;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;1;
sexual identity;1;10.5279/dk-sa-dda-25575;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;1;
sexual orientation;1;10.5279/dk-sa-dda-25575;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;1;
sexuality;1;10.5279/dk-sa-dda-25575;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;1;
smoking habits;1;10.5279/dk-sa-dda-25575;eng;04 HEALTH;04_02 Drug abuse, alcohol and smoking;0;1;
suicidal thoughts;1;10.5279/dk-sa-dda-25575;eng;04 HEALTH;"04_10 Signs and symptoms; pathological conditions";0;1;
suicide;1;10.5279/dk-sa-dda-25575;eng;04 HEALTH;04_12 Wounds and injuries;0;0;
suicide attempt;1;10.5279/dk-sa-dda-25575;eng;04 HEALTH;04_12 Wounds and injuries;0;0;
transgender;1;10.5279/dk-sa-dda-25575;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_08 Gender and gender roles;1;1;
